"filename", "language", "Dart", "comment", "blank", "total"
"e:\project\schedule\routes\_middleware.dart", "Dart", 26, 0, 5, 31
"e:\project\schedule\routes\auth\google.dart", "Dart", 73, 0, 17, 90
"e:\project\schedule\routes\auth\login.dart", "Dart", 47, 0, 13, 60
"e:\project\schedule\routes\auth\refresh.dart", "Dart", 24, 0, 9, 33
"e:\project\schedule\routes\auth\register.dart", "Dart", 70, 0, 14, 84
"e:\project\schedule\routes\cruds\appconfig\[id_appconfig].dart", "Dart", 29, 3, -3, 29
"e:\project\schedule\routes\cruds\appconfig\index.dart", "Dart", 27, 3, -2, 28
"e:\project\schedule\routes\cruds\call_schedule\[id_call].dart", "Dart", 31, 2, 1, 34
"e:\project\schedule\routes\cruds\call_schedule\index.dart", "Dart", 32, 5, 0, 37
"e:\project\schedule\routes\cruds\departments\[id_departments].dart", "Dart", 24, 1, -2, 23
"e:\project\schedule\routes\cruds\departments\index.dart", "Dart", 38, 3, -1, 40
"e:\project\schedule\routes\index.dart", "Dart", 52, 0, 3, 55
"Total", "-", 473, 17, 54, 544
